,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
326,Nuuk,64.1835,-51.7216,17.6,86,75,17.27,GL,1613226168
327,Harper,4.375,-7.7169,83.35,78,27,10.47,LR,1613226168
328,Batagay-Alyta,67.8006,130.4114,-10.08,79,19,1.43,RU,1613226169
329,Krutikha,53.9599,81.2093,-9.06,88,100,5.03,RU,1613226169
330,Opuwo,-18.0607,13.84,85.69,20,73,9.24,NA,1613226169
331,Anadyr,64.75,177.4833,1.4,78,90,2.24,RU,1613226169
332,Samarai,-10.6167,150.6667,82.53,72,95,5.48,PG,1613226169
333,Alyangula,-13.8483,136.4192,80.6,94,90,8.05,AU,1613226169
334,Kaitangata,-46.2817,169.8464,55.99,89,100,5.7,NZ,1613226169
335,Great Bend,38.3645,-98.7648,1.0,78,90,14.97,US,1613226169
336,Wawa,9.9022,4.4192,98.31,9,0,4.85,NG,1613226169
337,Huaiyuan,32.973,117.1995,55.54,79,43,5.79,CN,1613226169
338,Rovaniemi,66.5,25.7167,14.0,85,0,6.91,FI,1613226160
339,Biak,-0.9131,122.8766,76.84,80,100,1.19,ID,1613226169
340,Kunshan,31.3776,120.9543,55.4,71,0,6.71,CN,1613226169
341,Khandyga,62.6667,135.6,-5.87,86,0,1.83,RU,1613226169
342,Muisne,0.6,-80.0333,77.0,100,75,6.91,EC,1613226169
343,Ternate,0.8,127.4,81.48,77,100,8.05,ID,1613226169
344,Arlit,18.7369,7.3853,90.79,9,0,4.38,NE,1613226169
345,Baruun-Urt,46.6806,113.2792,-5.44,79,100,3.44,MN,1613226169
346,Bara,10.3744,10.7288,96.8,9,0,7.61,NG,1613226169
347,Karangampel,-6.4622,108.4519,79.23,84,97,7.25,ID,1613226169
348,Broome,42.2506,-75.833,14.0,52,1,5.75,US,1613226169
349,Puerto Gaitán,4.3133,-72.0816,90.43,39,100,16.26,CO,1613226169
350,Beloha,-25.1667,45.05,87.67,51,100,14.47,MG,1613226169
351,Shakawe,-18.3667,21.85,76.71,71,83,11.39,BW,1613226170
352,Matamoros,25.5333,-103.25,48.2,76,20,3.29,MX,1613226170
353,Orlik,52.5178,99.825,-12.15,77,99,3.83,RU,1613226170
354,Poronaysk,49.2167,143.1167,17.01,95,23,2.35,RU,1613226170
355,Hilton Head,32.2163,-80.7526,46.0,93,90,14.97,US,1613226020
356,Pisco,-13.7,-76.2167,77.0,61,0,6.91,PE,1613226170
